URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,20.0,40.0,-0.3333333277777779,0.0631578946703601,788.0,0.9620915032679739,306.3848366013072,738.0,765.0,2149.0,3.0,3,7.5777777777777775
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,8.0,6.0,0.14285713265306196,0.05223880577522834,214.0,0.9759615384615384,83.59038461538462,203.0,208.0,572.0,3.0,3,7.225961538461538
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,36.0,52.0,-0.18181817975206616,0.10451306400889185,731.0,0.9911894273127754,272.7964757709251,676.0,681.0,1777.0,12.0,12,6.908957415565345
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,12.0,27.0,-0.384615374753452,0.06610169480321747,471.0,0.9713024282560706,181.58852097130244,443.0,453.0,1209.0,5.0,5,7.154525386313466
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,32.0,57.0,-0.2808988732483273,0.10722891553345913,746.0,0.9914163090128756,279.99656652360517,695.0,699.0,1954.0,3.0,3,7.406294706723891
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,25.0,37.0,-0.19354838397502608,0.08920863296516743,574.0,0.9853479853479854,218.7941391941392,539.0,546.0,1492.0,6.0,6,7.086080586080586
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,5.0,3.0,0.24999996875000394,0.028169013985320374,220.0,0.9861751152073732,87.19447004608296,214.0,217.0,600.0,1.0,1,7.433179723502304
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,17.0,5.0,0.5454545206611581,0.04564315343227562,397.0,0.9866666666666667,150.39466666666667,370.0,375.0,986.0,3.0,3,7.109333333333334
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,33.0,55.0,-0.24999999715909094,0.12273361210218464,591.0,0.9842657342657343,229.1937062937063,563.0,572.0,1596.0,4.0,4,7.484265734265734
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,33.0,27.0,0.09999999833333337,0.12244897934194086,406.0,0.9820051413881749,155.9928020565553,383.0,389.0,988.0,38.0,38,6.74293059125964
